id,titolo,descrizione,area,segnalato_da,data_apertura
TM-101,GPS assente su tre furgoni,"I localizzatori GPS dei furgoni F-12, F-15 e F-21 perdono il segnale in zona deposito nord: la centrale operativa non vede i mezzi per interi turni.",Telematica,Centrale operativa,2026-06-02
TM-102,Rinnovo contratto pneumatici invernali,"Il contratto con il fornitore di pneumatici scade a settembre: va rinegoziato prima della stagione, includendo il servizio di deposito stagionale.",Manutenzione,Ufficio acquisti,2026-06-05
TM-103,App per segnalazione guasti dagli autisti,"Oggi gli autisti segnalano i guasti via telefono o a voce a fine turno: serve un canale unico digitale, con foto e priorità, per non perdere le segnalazioni.",Digitalizzazione,Team autisti,2026-06-09
TM-104,Scadenzario revisioni e bolli su Excel,"Le scadenze di revisioni, bolli e assicurazioni dei 48 mezzi sono su un foglio Excel aggiornato a mano: due revisioni sono già state mancate quest'anno.",Amministrazione,Responsabile parco mezzi,2026-06-11
TM-105,Sensore porta difettoso sul minibus M-07,"Il sensore di chiusura porta del minibus M-07 segna aperto anche a porta chiusa: il mezzo parte con ritardo a ogni corsa per la verifica manuale.",Manutenzione,Autista turno mattina,2026-06-15
TM-106,Colonnine di ricarica nel deposito sud,"Con l'arrivo dei sei nuovi mezzi elettrici previsto per il prossimo anno, il deposito sud non ha punti di ricarica: da valutare potenza, posizione e fornitore.",Infrastrutture,Direzione operativa,2026-06-18
TM-107,Report mensile consumi carburante fatto a mano,"Il report consumi viene compilato ogni mese incrociando a mano le carte carburante con i chilometri: mezza giornata di lavoro e frequenti errori di battitura.",Amministrazione,Ufficio amministrazione,2026-06-22
TM-108,Vetrofanie con il vecchio logo su otto mezzi,"Otto mezzi girano ancora con le vetrofanie del vecchio logo aziendale: da sostituire con la grafica nuova alla prima occasione utile.",Immagine,Ufficio comunicazione,2026-06-24
TM-109,Corso di guida sicura per i neoassunti,"I quattro autisti assunti in primavera non hanno ancora fatto il corso di guida sicura previsto dalla policy interna: da calendarizzare con l'ente di formazione.",Personale,Responsabile HR,2026-06-26
TM-110,Perizia danni da grandine su cinque mezzi,"La grandinata di fine giugno ha ammaccato cofano e tetto di cinque mezzi in sosta al deposito nord: serve la perizia assicurativa prima delle riparazioni.",Assicurazioni,Capo deposito nord,2026-06-30
